Tempo	DP1	DP2	DP3	DP4	DP5
5,6	-0,35042892	8,229335	4,9069624	9,234664	9,29211
5,62	-0,95937096	7,0133657	5,5771813	6,1229315	9,847435
5,64	0,396386796	10,249567	6,4293175	4,2558923	9,598496
5,66	0,60319734	8,928278	7,137835	4,2463174	9,445304
5,68	-1,59129192	8,143164	7,616563	5,5771813	9,397431
5,7	-3,7628022	9,770839	8,353804	5,8931417	9,41658
5,72	-2,47598136	10,565528	9,071896	4,5239797	9,818711
5,74	0,304471032	9,004874	9,809137	5,108028	9,837861
5,76	2,36108664	8,200611	10,833615	5,960164	9,445304
5,78	3,42960744	9,18679	11,302769	6,3814445	9,20594
5,8	2,02789188	9,378282	11,542132	6,47719	9,474028
5,82	0,063192096	9,119769	11,1208515	6,7069798	9,512326
5,84	-1,120223592	9,18679	10,421909	6,9463434	9,100619
5,86	-0,936391992	9,196365	10,153821	6,9080453	9,320834
5,88	-0,212555244	9,263388	10,134672	7,1091113	9,818711
5,9	0,212555244	8,899554	9,98148	6,9559183	9,454879
5,92	-0,051702628	8,851681	9,493176	7,0325146	9,167642
5,94	-0,028723682	8,851681	9,569773	8,076141	8,784659
5,96	0,72958152	9,110194	9,493176	7,9133744	9,272962
5,98	1,22362872	9,062322	9,043172	7,329326	9,167642
6	0,235534176	8,746361	8,822957	6,3814445	9,454879
6,02	0,247023648	8,822957	8,794233	6,0846334	9,301685
6,04	2,37257604	8,784659	8,44955	7,0133657	9,397431
6,06	3,95812344	8,755936	8,363379	6,544212	9,924032
6,08	2,418534	8,717637	8,4686985	12,116607	9,225089
6,1	-1,92448668	9,024023	8,248484	10,2016945	8,765511
6,12	-2,9125812	9,014449	7,5974135	10,29744	10,230418
6,14	-0,442344684	9,043172	8,00912	9,655944	9,531475
6,16	1,49937612	8,947427	9,493176	9,148493	10,316589
6,18	2,90109192	9,196365	11,59958	9,703817	10,441058
6,2	0,58021836	9,339984	13,868751	9,167642	12,834699
6,22	-0,224044728	9,703817	15,142167	9,100619	14,462374
6,24	0,040213152	9,129343	7,1665583	9,196365	13,323001
6,26	-0,672134112	8,794233	7,12826	9,349558	11,666602
6,28	-1,372992	8,794233	10,096374	9,426155	10,469782
6,3	-0,97086048	9,129343	9,608071	9,2825365	7,846352
6,32	-0,051702628	9,474028	10,182545	9,3878565	5,481436
6,34	0,120639456	10,115523	10,239992	9,41658	4,868664
6,36	-0,281492076	11,867668	9,426155	9,196365	5,950589
6,38	-0,476813112	12,978316	9,18679	9,167642	6,486765
6,4	0,08617104	13,428321	9,904882	9,167642	5,787822
6,42	0,028723682	13,830453	9,62722	9,177217	4,3995104
6,44	-0,855965712	14,385777	9,330409	9,330409	5,6250544
6,46	-1,23511836	14,596417	9,3878565	9,349558	7,741032
6,48	-0,7985184	14,74961	9,713391	9,167642	7,56869
6,5	-0,132128933	15,668768	9,722966	9,167642	6,745278
6,52	-0,178086828	14,845356	9,359133	9,177217	8,229335
6,54	-0,534260484	12,46129	9,272962	9,20594	7,7123084
6,56	-0,4308552	10,2016945	9,234664	9,043172	6,0750585
6,58	-0,37340784	2,6569405	9,253813	8,918703	7,310177
6,6	-0,315960504	2,3314054	9,071896	8,861256	10,689997
6,62	-0,017234209	8,181462	9,062322	9,148493	9,828286
6,64	0,270002604	7,635712	9,320834	9,091045	8,947427
6,66	0,178086828	3,2697124	8,889979	9,110194	7,3006024
6,68	-0,235534176	2,4463003	9,263388	9,024023	7,0325146
6,7	-0,7066026	5,835695	9,091045	8,870831	8,851681
6,72	-0,442344684	5,653778	9,215514	9,014449	10,259142
6,74	0	4,6867476	9,234664	9,158067	7,855927
6,76	0,120639456	5,0601554	9,071896	9,464453	9,301685
6,78	0,37340784	5,682502	9,18679	9,608071	11,398514
6,8	0,844476204	5,7782474	9,31126	9,3878565	10,220843
6,82	0,51128154	5,38569	9,215514	9,512326	9,320834
6,84	0,247023648	5,835695	9,043172	9,761265	10,029352
6,86	0,304471032	7,1091113	9,29211	10,048501	8,688913
6,88	0,270002604	7,348475	9,3878565	10,0868	9,033598
6,9	0,109149996	7,281453	9,493176	10,335738	9,3878565
6,92	-0,120639456	7,482519	9,579348	10,450633	9,320834
6,94	-0,143618412	7,1665583	10,94851	10,594251	9,071896
6,96	-0,017234209	6,323997	13,064487	10,699572	9,18679
6,98	-0,86745516	5,998462	15,161317	10,029352	9,215514
7	-0,66064464	5,6154795	13,8879	9,138918	8,526146
7,02	0,9019236	6,438892	13,217681	8,688913	9,20594
7,04	1,120223592	17,583681	14,711312	7,9803963	9,100619
7,06	0,49979208	14,242159	16,674097	7,549541	9,18679
7,08	-0,315960504	8,143164	16,128347	7,654861	9,502751
